year,ac_no,nota_votes,nota_pct
2026,235,1553,0.61
2026,236,1628,0.67
2026,237,2679,1.29
2026,238,2780,1.04
2026,239,2374,1.08
2026,240,2437,1.06
2026,241,3239,1.39
2026,242,1728,0.75
2026,243,2111,0.89
2026,244,2797,1.32
2026,245,2788,1.29
2026,246,3201,1.37
2026,247,2771,1.27
2026,248,2588,1.17
2026,249,3884,1.64
2026,250,1829,0.87
2026,251,1699,0.77
2026,252,3533,1.48
2026,253,2686,1.14
2026,254,3963,1.61
2026,255,2180,1.05
2026,256,1662,0.69
2026,257,1582,0.68
2026,258,2061,0.93
2026,259,1271,0.57
2026,260,2364,1.15
2026,261,1442,0.62
2026,262,1798,0.84
2026,263,1360,0.67
2026,264,1333,0.63
2026,265,1229,0.54
2026,266,3771,1.52
2026,267,3252,1.51
2026,268,1923,0.87
2026,269,1188,0.53
2026,270,1486,0.62
2026,271,4034,1.84
2026,272,3423,1.56
2026,273,2425,1.07
2026,274,2780,1.2
2026,275,1289,0.74
2026,276,2594,1.21
2026,277,2947,1.36
2026,278,2452,1.25
2026,279,1701,0.94
2026,280,2857,1.32
2026,281,2755,1.31
2026,282,2539,1.33
2026,283,2765,1.49
2026,284,2487,1.13
2026,285,1832,0.77
2026,286,3554,1.44
2026,287,1865,0.74
2026,288,3145,1.41
2026,289,1551,0.64
2026,290,2456,1.15
2026,291,3163,1.35
2026,292,1153,0.51
2026,293,1533,0.69
2026,294,1166,0.48
