year,ac_no,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,position
2021,13,DIPAK BARMAN,MALE,46.0,SC,BJP,101833,1160,102993,46.71,1
2021,13,SUBHASH CHANDRA ROY,MALE,49.0,SC,TMC,98181,822,99003,44.9,2
2021,13,KSHITISH CHANDRA RAY,MALE,51.0,SC,CPI(M),10496,276,10772,4.89,3
2021,13,DIPAK CHANDRA MANDAL (SANTOSH),MALE,37.0,SC,IND,1675,3,1678,0.76,4
2021,13,SWAPAN ROY,MALE,27.0,SC,IND,1639,6,1645,0.75,5
2021,13,TAPAN ADHIKARI,MALE,32.0,SC,SWJP,1367,10,1377,0.62,6
2021,13,TARANI ROY,MALE,63.0,SC,SUCI,608,5,613,0.28,7
2021,13,BIMAL ROY,MALE,55.0,SC,AMB,446,3,449,0.2,8
2021,14,MANOJ TIGGA,MALE,48.0,ST,BJP,89913,805,90718,54.35,1
2021,14,RAJESH LAKRA,MALE,45.0,ST,TMC,60591,442,61033,36.56,2
2021,14,SUBHASH LOHAR,MALE,48.0,ST,RSP,6983,89,7072,4.24,3
2021,14,UTTAM BARUA,MALE,41.0,ST,BSP,1687,9,1696,1.02,4
2021,14,VIVEK PRADEEP TETE,MALE,37.0,ST,BTP,1536,4,1540,0.92,5
2021,14,PANCHU ORAON,MALE,37.0,ST,NPEP,1261,11,1272,0.76,6
2021,14,SUDHIST BARAIK,MALE,43.0,ST,SUCI,961,6,967,0.58,7
2021,15,BISHNU PADA RAY,MALE,58.0,SC,BJP,103533,1155,104688,45.65,1
2021,15,MITALI ROY,FEMALE,47.0,SC,TMC,99293,1040,100333,43.75,2
2021,15,PRADIP KUMAR ROY,MALE,46.0,SC,CPI(M),12856,251,13107,5.72,3
2021,15,BEDODYUTI ROY,MALE,53.0,SC,BSP,2171,7,2178,0.95,4
2021,15,HRISHIKESH ROY,MALE,28.0,SC,IND,2167,2,2169,0.95,5
2021,15,SUKUMAR ROY,MALE,40.0,SC,KPPU,2144,11,2155,0.94,6
2021,15,DHIRANJAN ROY,MALE,37.0,SC,SUCI,1604,9,1613,0.7,7
2021,15,SUJAN BARMAN,MALE,33.0,SC,IND,1090,6,1096,0.48,8
2021,16,Kaushik Roy,MALE,37.0,SC,BJP,113928,1378,115306,48.84,1
2021,16,Manoj Roy,MALE,50.0,SC,TMC,102341,1054,103395,43.79,2
2021,16,Naresh Chandra Roy,MALE,66.0,SC,RSP,5592,168,5760,2.44,3
2021,16,Biswanath Roy,MALE,46.0,SC,KPPU,2843,25,2868,1.21,4
2021,16,Uday Shankar Adhikari,MALE,68.0,SC,CPI(ML)(L),1546,9,1555,0.66,5
2021,16,Ganesh Mandal,MALE,54.0,SC,BSP,1539,11,1550,0.66,6
2021,16,Bilash Sarkar,MALE,32.0,SC,IND,1075,4,1079,0.46,7
2021,16,Shyamal Roy,MALE,38.0,SC,SUCI,737,8,745,0.32,8
