ac_no,ac_name,reservation,is_reserved,ac_name_2021,ac_name_2026,district,region
98,SWARUPNAGAR,SC,1,Swarupnagar,SWARUPNAGAR (SC),North 24 Parganas,North 24 Parganas
99,BADURIA,GEN,0,Baduria,BADURIA,North 24 Parganas,North 24 Parganas
100,HABRA,GEN,0,Habra,HABRA,North 24 Parganas,North 24 Parganas
101,ASHOKNAGAR,GEN,0,Ashoknagar,ASHOKNAGAR,North 24 Parganas,North 24 Parganas
102,AMDANGA,GEN,0,Amdanga,AMDANGA,North 24 Parganas,North 24 Parganas
103,BIJPUR,GEN,0,Bijpur,BIJPUR,North 24 Parganas,North 24 Parganas
104,NAIHATI,GEN,0,Naihati,NAIHATI,North 24 Parganas,North 24 Parganas
105,BHATPARA,GEN,0,Bhatpara,BHATPARA,North 24 Parganas,North 24 Parganas
106,JAGATDAL,GEN,0,Jagatdal,JAGATDAL,North 24 Parganas,North 24 Parganas
107,NOAPARA,GEN,0,Noapara,NOAPARA,North 24 Parganas,North 24 Parganas
108,BARRACKPUR,GEN,0,Barrackpur,BARRACKPUR,North 24 Parganas,North 24 Parganas
109,KHARDAHA,GEN,0,Khardaha,KHARDAHA,North 24 Parganas,North 24 Parganas
110,DUM DUM UTTAR,GEN,0,Dum Dum Uttar,DUM DUM UTTAR,North 24 Parganas,North 24 Parganas
111,PANIHATI,GEN,0,Panihati,PANIHATI,North 24 Parganas,North 24 Parganas
112,KAMARHATI,GEN,0,Kamarhati,KAMARHATI,North 24 Parganas,North 24 Parganas
113,BARANAGAR,GEN,0,Baranagar,BARANAGAR,North 24 Parganas,North 24 Parganas
114,DUM DUM,GEN,0,Dum Dum,DUM DUM,North 24 Parganas,North 24 Parganas
115,RAJARHAT NEW TOWN,GEN,0,Rajarhat New Town,RAJARHAT NEW TOWN,North 24 Parganas,North 24 Parganas
116,BIDHANNAGAR,GEN,0,Bidhannagar,BIDHANNAGAR,North 24 Parganas,North 24 Parganas
117,RAJARHAT GOPALPUR,GEN,0,Rajarhat Gopalpur,RAJARHAT GOPALPUR,North 24 Parganas,North 24 Parganas
118,MADHYAMGRAM,GEN,0,Madhyamgram,MADHYAMGRAM,North 24 Parganas,North 24 Parganas
119,BARASAT,GEN,0,Barasat,BARASAT,North 24 Parganas,North 24 Parganas
120,DEGANGA,GEN,0,Deganga,DEGANGA,North 24 Parganas,North 24 Parganas
121,HAROA,GEN,0,Haroa,HAROA,North 24 Parganas,North 24 Parganas
122,MINAKHAN,SC,1,Minakhan,MINAKHAN (SC),North 24 Parganas,North 24 Parganas
123,SANDESHKHALI,ST,1,Sandeshkhali,SANDESHKHALI (ST),North 24 Parganas,North 24 Parganas
124,BASIRHAT DAKSHIN,GEN,0,Basirhat Dakshin,BASIRHAT DAKSHIN,North 24 Parganas,North 24 Parganas
125,BASIRHAT UTTAR,GEN,0,Basirhat Uttar,BASIRHAT UTTAR,North 24 Parganas,North 24 Parganas
126,HINGALGANJ,SC,1,Hingalganj,HINGALGANJ (SC),North 24 Parganas,North 24 Parganas
127,GOSABA,SC,1,Gosaba,GOSABA (SC),South 24 Parganas,South 24 Parganas
128,BASANTI,SC,1,Basanti,BASANTI (SC),South 24 Parganas,South 24 Parganas
129,KULTALI,SC,1,Kultali,KULTALI (SC),South 24 Parganas,South 24 Parganas
130,PATHARPRATIMA,GEN,0,Patharpratima,PATHARPRATIMA,South 24 Parganas,South 24 Parganas
131,KAKDWIP,GEN,0,Kakdwip,KAKDWIP,South 24 Parganas,South 24 Parganas
132,SAGAR,GEN,0,Sagar,SAGAR,South 24 Parganas,South 24 Parganas
133,KULPI,GEN,0,Kulpi,KULPI,South 24 Parganas,South 24 Parganas
134,RAIDIGHI,GEN,0,Raidighi,RAIDIGHI,South 24 Parganas,South 24 Parganas
135,MANDIRBAZAR,SC,1,Mandirbazar,MANDIRBAZAR (SC),South 24 Parganas,South 24 Parganas
136,JAYNAGAR,SC,1,Jaynagar,JAYNAGAR (SC),South 24 Parganas,South 24 Parganas
137,BARUIPUR PURBA,SC,1,Baruipur Purba,BARUIPUR PURBA (SC),South 24 Parganas,South 24 Parganas
138,CANNING PASCHIM,SC,1,Canning Paschim,CANNING PASCHIM (SC),South 24 Parganas,South 24 Parganas
139,CANNING PURBA,GEN,0,Canning Purba,CANNING PURBA,South 24 Parganas,South 24 Parganas
140,BARUIPUR PASCHIM,GEN,0,Baruipur Paschim,BARUIPUR PASCHIM,South 24 Parganas,South 24 Parganas
141,MAGRAHAT PURBA,SC,1,Magrahat Purba,MAGRAHAT PURBA (SC),South 24 Parganas,South 24 Parganas
142,MAGRAHAT PASCHIM,GEN,0,Magrahat Paschim,MAGRAHAT PASCHIM,South 24 Parganas,South 24 Parganas
143,DIAMOND HARBOUR,GEN,0,Diamond Harbour,DIAMOND HARBOUR,South 24 Parganas,South 24 Parganas
144,FALTA,GEN,0,Falta,FALTA,South 24 Parganas,South 24 Parganas
145,SATGACHHIA,GEN,0,Satgachhia,SATGACHHIA,South 24 Parganas,South 24 Parganas
146,BISHNUPUR,SC,1,Bishnupur,BISHNUPUR (SC),South 24 Parganas,South 24 Parganas
147,SONARPUR DAKSHIN,GEN,0,Sonarpur Dakshin,SONARPUR DAKSHIN,South 24 Parganas,South 24 Parganas
148,BHANGAR,GEN,0,Bhangar,BHANGAR,South 24 Parganas,South 24 Parganas
149,KASBA,GEN,0,Kasba,KASBA,South 24 Parganas,South 24 Parganas
150,JADAVPUR,GEN,0,Jadavpur,JADAVPUR,South 24 Parganas,South 24 Parganas
151,SONARPUR UTTAR,GEN,0,Sonarpur Uttar,SONARPUR UTTAR,South 24 Parganas,South 24 Parganas
152,TOLLYGANJ,GEN,0,Tollyganj,TOLLYGANJ,South 24 Parganas,South 24 Parganas
153,BEHALA PURBA,GEN,0,Behala Purba,BEHALA PURBA,South 24 Parganas,South 24 Parganas
154,BEHALA PASCHIM,GEN,0,Behala Paschim,BEHALA PASCHIM,South 24 Parganas,South 24 Parganas
155,MAHESHTALA,GEN,0,Maheshtala,MAHESHTALA,South 24 Parganas,South 24 Parganas
156,BUDGE BUDGE,GEN,0,Budge Budge,BUDGE BUDGE,South 24 Parganas,South 24 Parganas
157,METIABURUZ,GEN,0,Metiaburuz,METIABURUZ,South 24 Parganas,South 24 Parganas
158,KOLKATA PORT,GEN,0,Kolkata Port,KOLKATA PORT,Kolkata,Kolkata & Howrah
159,BHABANIPUR,GEN,0,Bhabanipur,BHABANIPUR,Kolkata,Kolkata & Howrah
160,RASHBEHARI,GEN,0,Rashbehari,RASHBEHARI,Kolkata,Kolkata & Howrah
161,BALLYGUNGE,GEN,0,Ballygunge,BALLYGUNGE,Kolkata,Kolkata & Howrah
162,CHOWRANGEE,GEN,0,Chowrangee,CHOWRANGEE,Kolkata,Kolkata & Howrah
163,ENTALLY,GEN,0,Entally,ENTALLY,Kolkata,Kolkata & Howrah
164,BELEGHATA,GEN,0,Beleghata,BELEGHATA,Kolkata,Kolkata & Howrah
165,JORASANKO,GEN,0,Jorasanko,JORASANKO,Kolkata,Kolkata & Howrah
166,SHYAMPUKUR,GEN,0,Shyampukur,SHYAMPUKUR,Kolkata,Kolkata & Howrah
167,MANIKTALA,GEN,0,Maniktala,MANIKTALA,Kolkata,Kolkata & Howrah
168,KASHIPUR-BELGACHHIA,GEN,0,Kashipur-Belgachhia,KASHIPUR-BELGACHHIA,Kolkata,Kolkata & Howrah
169,BALLY,GEN,0,Bally,BALLY,Howrah,Kolkata & Howrah
170,HOWRAH UTTAR,GEN,0,Howrah Uttar,HOWRAH UTTAR,Howrah,Kolkata & Howrah
171,HOWRAH MADHYA,GEN,0,Howrah Madhya,HOWRAH MADHYA,Howrah,Kolkata & Howrah
172,SHIBPUR,GEN,0,Shibpur,SHIBPUR,Howrah,Kolkata & Howrah
173,HOWRAH DAKSHIN,GEN,0,Howrah Dakshin,HOWRAH DAKSHIN,Howrah,Kolkata & Howrah
174,SANKRAIL,SC,1,Sankrail,SANKRAIL (SC),Howrah,Kolkata & Howrah
175,PANCHLA,GEN,0,Panchla,PANCHLA,Howrah,Kolkata & Howrah
176,ULUBERIA PURBA,GEN,0,Uluberia Purba,ULUBERIA PURBA,Howrah,Kolkata & Howrah
