year,ac_no,total_electors,votes_polled,turnout_pct
2026,113,186656,169347,90.73
2026,114,217724,198098,90.99
2026,115,267716,252560,94.34
2026,116,203960,177484,87.02
2026,117,218980,195730,89.38
2026,118,244690,232916,95.19
2026,119,252684,236603,93.64
2026,120,240229,233473,97.19
2026,121,243479,237469,97.53
2026,122,222038,215848,97.21
2026,123,223320,216180,96.8
2026,124,260723,250535,96.09
2026,125,245638,238563,97.12
2026,126,215357,207071,96.15
2026,127,221427,211328,95.44
2026,128,240362,231860,96.46
2026,129,261761,253551,96.86
2026,130,257862,246059,95.42
2026,131,241891,231303,95.62
2026,132,274488,258107,94.03
2026,133,216699,207706,95.85
2026,134,267926,257773,96.21
2026,135,222142,213229,95.99
2026,136,227343,219107,96.38
2026,137,245159,237319,96.8
2026,138,238344,230686,96.79
2026,139,246698,241664,97.96
2026,140,233239,221031,94.77
2026,141,232718,222178,95.47
2026,142,217102,205362,94.59
2026,143,245251,232238,94.69
2026,144,236537,0,0.0
2026,145,256303,239370,93.39
2026,146,268346,250592,93.38
2026,147,261143,246393,94.35
2026,148,272748,267394,98.04
2026,149,265693,241206,90.78
2026,150,260915,231075,88.56
2026,151,273312,256444,93.83
2026,152,230098,205661,89.38
2026,153,259876,234687,90.31
2026,154,266349,238796,89.66
2026,155,243529,229791,94.36
2026,156,230052,218093,94.8
2026,157,189557,180068,94.99
2026,158,171825,154702,90.03
2026,159,160563,139413,86.83
2026,160,158586,138814,87.53
2026,161,188988,167384,88.57
2026,162,126715,110122,86.91
2026,163,179088,165207,92.25
2026,164,190746,174108,91.28
2026,165,122746,106847,87.05
2026,166,131890,116768,88.53
2026,167,165961,150722,90.82
2026,168,168019,150542,89.6
2026,169,133780,117838,88.08
2026,170,150110,133063,88.64
2026,171,214910,193459,90.02
2026,172,195103,181323,92.94
2026,173,240748,222054,92.24
2026,174,240335,229210,95.37
2026,175,248515,235163,94.63
2026,176,218601,208025,95.16
2026,177,214715,203466,94.76
2026,178,237104,226271,95.43
2026,179,259440,244669,94.31
2026,180,230726,218406,94.66
2026,181,257113,237001,92.18
2026,182,229303,213603,93.15
2026,183,270866,252515,93.23
2026,184,269344,254187,94.37
2026,185,228576,205454,89.88
2026,186,206216,186297,90.34
2026,187,222304,204415,91.95
2026,188,237516,222573,93.71
2026,189,203795,186909,91.71
2026,190,276244,255204,92.38
2026,191,240491,226031,93.99
2026,192,249215,233718,93.78
2026,193,210597,196584,93.35
2026,194,246622,227472,92.24
2026,195,251164,232291,92.49
2026,196,264434,245994,93.03
2026,197,262844,247691,94.23
2026,198,235634,221578,94.03
2026,199,259825,240924,92.73
2026,200,253519,235875,93.04
2026,201,248328,234321,94.36
2026,202,268692,237135,88.26
2026,203,274816,256930,93.49
2026,204,238674,220737,92.48
2026,205,279248,258432,92.55
2026,206,265481,246333,92.79
2026,207,264738,249316,94.17
2026,208,253752,238188,93.87
2026,209,252092,239446,94.98
2026,210,267174,252722,94.59
2026,211,256364,241957,94.38
2026,212,247529,232048,93.75
2026,213,263871,249421,94.52
2026,214,264293,247653,93.7
2026,215,248386,236328,95.15
2026,216,228412,212835,93.18
2026,217,269545,244842,90.84
2026,218,291907,269373,92.28
2026,219,236370,218374,92.39
2026,220,227076,207713,91.47
2026,221,228063,213383,93.56
2026,222,235603,220940,93.78
2026,223,238855,223842,93.71
2026,224,180764,161661,89.43
2026,225,239375,225543,94.22
2026,226,274846,257340,93.63
2026,227,256233,242754,94.74
2026,228,218527,208560,95.44
2026,229,232197,217323,93.59
2026,230,296256,252047,85.08
2026,231,276794,242025,87.44
2026,232,283081,264690,93.5
2026,233,233655,222049,95.03
2026,234,279613,266475,95.3
2026,235,268213,253963,94.69
2026,236,260610,244086,93.66
2026,237,221524,208079,93.93
2026,238,286171,266178,93.01
2026,239,235710,219946,93.31
2026,240,250978,230137,91.7
2026,241,254082,233203,91.78
2026,242,252313,230653,91.42
2026,243,255913,236467,92.4
2026,244,229972,211974,92.17
2026,245,236360,215946,91.36
2026,246,254449,234431,92.13
2026,247,233527,218491,93.56
2026,248,242884,221957,91.38
2026,249,255198,236828,92.8
2026,250,224609,210215,93.59
2026,251,236732,219936,92.91
2026,252,261565,239331,91.5
2026,253,252205,235362,93.32
2026,254,263110,246292,93.61
2026,255,220848,207478,93.95
2026,256,254394,240253,94.44
2026,257,245791,232394,94.55
2026,258,236292,221852,93.89
2026,259,233783,223246,95.49
2026,260,222117,204823,92.21
2026,261,246255,233245,94.72
2026,262,225551,214774,95.22
2026,263,216968,204165,94.1
2026,264,226568,213233,94.11
2026,265,239719,227492,94.9
2026,266,260510,247932,95.17
2026,267,226841,214694,94.65
2026,268,232857,220056,94.5
2026,269,239934,224880,93.73
2026,270,257343,239536,93.08
2026,271,234702,219183,93.39
2026,272,232205,219247,94.42
2026,273,236132,225886,95.66
2026,274,244138,232345,95.17
2026,275,188499,174712,92.69
2026,276,237454,214802,90.46
2026,277,238974,216774,90.71
2026,278,216243,196484,90.86
2026,279,196678,181594,92.33
2026,280,239405,215792,90.14
2026,281,237089,210607,88.83
2026,282,210912,190239,90.2
2026,283,202090,185274,91.68
2026,284,231802,220193,94.99
2026,285,252420,238504,94.49
2026,286,260376,246339,94.61
2026,287,269616,253119,93.88
2026,288,235224,223002,94.8
2026,289,252442,241175,95.54
2026,290,226302,213473,94.33
2026,291,245490,233723,95.21
2026,292,237652,226555,95.33
2026,293,232063,222519,95.89
2026,294,252203,242939,96.33
