ac_no,district,region
283,Paschim Bardhaman,Rarh Bengal
284,Birbhum,Rarh Bengal
285,Birbhum,Rarh Bengal
286,Birbhum,Rarh Bengal
287,Birbhum,Rarh Bengal
288,Birbhum,Rarh Bengal
289,Birbhum,Rarh Bengal
290,Birbhum,Rarh Bengal
291,Birbhum,Rarh Bengal
292,Birbhum,Rarh Bengal
293,Birbhum,Rarh Bengal
294,Birbhum,Rarh Bengal
