state,ac_no,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year
West Bengal,225,NARAYANGARH,Sk Alam Hossain,MALE,68.0,GENERAL,INC,1358,9,1367,0.61,239375,2026
West Bengal,225,NARAYANGARH,Tapas Mahapatra,MALE,51.0,GENERAL,IND,900,5,905,0.4,239375,2026
West Bengal,225,NARAYANGARH,Nityananda Raut,MALE,32.0,GENERAL,IND,347,1,348,0.15,239375,2026
West Bengal,225,NARAYANGARH,Amit Das,MALE,33.0,GENERAL,IND,245,1,246,0.11,239375,2026
West Bengal,225,NARAYANGARH,Sk Nurul Hasan,MALE,32.0,GENERAL,AJUP,208,1,209,0.09,239375,2026
West Bengal,225,NARAYANGARH,Ganesh Kisku,MALE,33.0,ST,BNARP,181,0,181,0.08,239375,2026
West Bengal,226,SABANG,Amal Kumar Panda,MALE,73.0,GENERAL,BJP,126496,1287,127783,49.66,274846,2026
West Bengal,226,SABANG,Manas Ranjan Bhunia,MALE,74.0,GENERAL,TMC,115706,941,116647,45.33,274846,2026
West Bengal,226,SABANG,Nakul Chandra Bera,MALE,55.0,SC,CPI(M),6849,129,6978,2.71,274846,2026
West Bengal,226,SABANG,Alak Kumar Samai,MALE,55.0,GENERAL,INC,2232,40,2272,0.88,274846,2026
West Bengal,226,SABANG,Nota,,,,NOTA,1288,17,1305,0.51,274846,2026
West Bengal,226,SABANG,Tapan Kumar Sasmal,MALE,44.0,GENERAL,SUCI,1205,16,1221,0.47,274846,2026
West Bengal,226,SABANG,Debashis Barman,MALE,33.0,SC,AMB,629,1,630,0.24,274846,2026
West Bengal,226,SABANG,Rafik Ali Saiyed,MALE,52.0,GENERAL,IND,286,0,286,0.11,274846,2026
West Bengal,226,SABANG,Gopinath Dey,MALE,30.0,GENERAL,IND,212,6,218,0.08,274846,2026
West Bengal,227,PINGLA,Swagata Manna,FEMALE,41.0,GENERAL,BJP,123210,979,124189,51.16,256233,2026
West Bengal,227,PINGLA,Ajit Maity,MALE,72.0,GENERAL,TMC,105255,454,105709,43.55,256233,2026
West Bengal,227,PINGLA,Ashok Sen,MALE,78.0,GENERAL,CPI,6363,60,6423,2.65,256233,2026
West Bengal,227,PINGLA,Nota,,,,NOTA,2162,11,2173,0.9,256233,2026
West Bengal,227,PINGLA,Susanta Mandal,MALE,44.0,GENERAL,INC,1655,13,1668,0.69,256233,2026
West Bengal,227,PINGLA,Tajambul Hossain Khan,MALE,64.0,GENERAL,IND,953,0,953,0.39,256233,2026
West Bengal,227,PINGLA,Tapan Dhal,MALE,38.0,SC,IND,430,0,430,0.18,256233,2026
West Bengal,227,PINGLA,Basudeb Pan,MALE,37.0,GENERAL,IND,399,0,399,0.16,256233,2026
West Bengal,227,PINGLA,Sishir Kumar Manna,MALE,45.0,GENERAL,SUCI,263,8,271,0.11,256233,2026
West Bengal,227,PINGLA,Kazi Abdur Rashid,MALE,39.0,GENERAL,AJUP,268,1,269,0.11,256233,2026
West Bengal,227,PINGLA,Asish Kumar Bhunia,MALE,45.0,GENERAL,IND,145,1,146,0.06,256233,2026
West Bengal,227,PINGLA,Ajit Maiti,MALE,45.0,GENERAL,IND,120,4,124,0.05,256233,2026
West Bengal,228,KHARAGPUR,Dinen Roy,MALE,70.0,GENERAL,TMC,97970,350,98320,47.14,218527,2026
West Bengal,228,KHARAGPUR,Tapan Bhuya,MALE,50.0,GENERAL,BJP,94614,834,95448,45.77,218527,2026
West Bengal,228,KHARAGPUR,Sk Sajahan Ali,MALE,54.0,GENERAL,CPI(M),7884,67,7951,3.81,218527,2026
West Bengal,228,KHARAGPUR,Ujjal Mukherjee,MALE,33.0,GENERAL,INC,1561,9,1570,0.75,218527,2026
West Bengal,228,KHARAGPUR,Nota,,,,NOTA,1526,9,1535,0.74,218527,2026
West Bengal,228,KHARAGPUR,Manmatha Nath Dolai,MALE,63.0,GENERAL,IND,1428,1,1429,0.69,218527,2026
West Bengal,228,KHARAGPUR,Sujoy Ghosh,MALE,43.0,GENERAL,IND,889,0,889,0.43,218527,2026
West Bengal,228,KHARAGPUR,Akshay Khan,MALE,58.0,SC,SUCI,609,4,613,0.29,218527,2026
West Bengal,228,KHARAGPUR,Avijit Roy,MALE,34.0,GENERAL,IND,461,0,461,0.22,218527,2026
West Bengal,228,KHARAGPUR,Barsha Mahapatra,FEMALE,34.0,GENERAL,AMB,344,0,344,0.16,218527,2026
West Bengal,229,DEBRA,Subhashis Om,MALE,41.0,GENERAL,BJP,113489,974,114463,52.67,232197,2026
West Bengal,229,DEBRA,Rajib Banerjee,MALE,56.0,GENERAL,TMC,85169,493,85662,39.42,232197,2026
West Bengal,229,DEBRA,Sumit Adhikari,MALE,38.0,GENERAL,CPI(M),12375,98,12473,5.74,232197,2026
West Bengal,229,DEBRA,Chitta Ranjan Jana,MALE,71.0,GENERAL,INC,1324,13,1337,0.62,232197,2026
West Bengal,229,DEBRA,Nota,,,,NOTA,1078,9,1087,0.5,232197,2026
West Bengal,229,DEBRA,Selim Khan,MALE,53.0,GENERAL,RASLJP,906,0,906,0.42,232197,2026
West Bengal,229,DEBRA,Amal Kumar Hui,MALE,60.0,GENERAL,IND,749,2,751,0.35,232197,2026
West Bengal,229,DEBRA,Dipankar Maity,MALE,54.0,GENERAL,SUCI,393,9,402,0.18,232197,2026
West Bengal,229,DEBRA,Shubhamoy Nayek,MALE,32.0,SC,BNARP,238,4,242,0.11,232197,2026
West Bengal,230,DASPUR,Tapan Kumar Dutta,MALE,64.0,GENERAL,BJP,132251,820,133071,52.8,296256,2026
West Bengal,230,DASPUR,Ashis Hudait,MALE,65.0,GENERAL,TMC,100398,539,100937,40.05,296256,2026
West Bengal,230,DASPUR,Ranajit Pal,MALE,45.0,GENERAL,CPI(M),12099,179,12278,4.87,296256,2026
West Bengal,230,DASPUR,Nota,,,,NOTA,1696,15,1711,0.68,296256,2026
