ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
152,West Bengal,Tollyganj,AROOP BISWAS,MALE,57.0,GENERAL,TMC,100491,949,101440,51.4,269713,2021,51360,BABUL SUPRIYO,BJP,50080,18.57
153,West Bengal,Behala Purba,Ratna Chatterjee,FEMALE,49.0,GENERAL,TMC,110294,674,110968,50.01,308285,2021,73540,Payel Sarkar,BJP,37428,12.14
154,West Bengal,Behala Paschim,PARTHA CHATTERJEE,MALE,68.0,GENERAL,TMC,113787,991,114778,49.51,313198,2021,63894,SRABANTI CHATTERJEE,BJP,50884,16.25
155,West Bengal,Maheshtala,DULAL CHANDRA DAS,MALE,76.0,GENERAL,TMC,123575,433,124008,56.38,271007,2021,66059,UMESH DAS,BJP,57949,21.38
156,West Bengal,Budge Budge,ASHOK KUMAR DEB,MALE,71.0,GENERAL,TMC,121401,956,122357,56.41,256136,2021,77643,DR. TARUN KUMAR ADAK,BJP,44714,17.46
157,West Bengal,Metiaburuz,ABDUL KHALEQUE MOLLA,MALE,76.0,GENERAL,TMC,150792,274,151066,76.85,256315,2021,31462,RAMJIT PRASAD,BJP,119604,46.66
158,West Bengal,Kolkata Port,Firhad Hakim,MALE,62.0,GENERAL,TMC,105202,341,105543,69.23,235933,2021,36989,Awadh Kishore Gupta,BJP,68554,29.06
159,West Bengal,Bhabanipur,Sobhandeb Chattopadhyay,MALE,77.0,GENERAL,TMC,73048,457,73505,57.71,206389,2021,44786,Rudranil Ghosh,BJP,28719,13.91
160,West Bengal,Rashbehari,DEBASISH KUMAR,MALE,61.0,GENERAL,TMC,64838,866,65704,52.79,206013,2021,44290,LT. GEN. (DR.) SUBRATA SAHA,BJP,21414,10.39
161,West Bengal,Ballygunge,Subrata Mukherjee,MALE,74.0,GENERAL,TMC,106223,362,106585,70.6,247662,2021,31226,LOKENATH CHATTERJEE,BJP,75359,30.43
162,West Bengal,Chowrangee,BANDYOPADHYAY NAYNA,FEMALE,52.0,GENERAL,TMC,69702,399,70101,62.87,208201,2021,24757,DEVDUTTA MAJI,BJP,45344,21.78
163,West Bengal,Entally,Swarna Kamal Saha,MALE,72.0,GENERAL,TMC,101266,443,101709,64.83,230814,2021,43452,Priyanka Tibrewal,BJP,58257,25.24
164,West Bengal,Beleghata,PARESH PAUL,MALE,75.0,GENERAL,TMC,102478,704,103182,65.1,250881,2021,36042,KASHINATH BISWAS,BJP,67140,26.76
165,West Bengal,Jorasanko,VIVEK GUPTA,MALE,45.0,GENERAL,TMC,51904,219,52123,52.67,197950,2021,39380,MEENA DEVI PUROHIT,BJP,12743,6.44
166,West Bengal,Shyampukur,Dr. SHASHI PANJA,FEMALE,58.0,GENERAL,TMC,55184,601,55785,54.18,176557,2021,33265,SANDIPAN BISWAS,BJP,22520,12.76
167,West Bengal,Maniktala,Sadhan Pande,MALE,70.0,GENERAL,TMC,67180,397,67577,50.82,211308,2021,47339,Kalyan Chaubey,BJP,20238,9.58
168,West Bengal,Kashipur-Belgachhia,Atin Ghosh,MALE,62.0,GENERAL,TMC,75274,908,76182,56.48,223714,2021,40792,Sibaji Sinha Roy,BJP,35390,15.82
169,West Bengal,Bally,RANA CHATTERJEE,MALE,48.0,GENERAL,TMC,53223,124,53347,42.38,176197,2021,47110,BAISHALI DALMIYA,BJP,6237,3.54
170,West Bengal,Howrah Uttar,GAUTAM CHOWDHURI,MALE,48.0,GENERAL,TMC,71408,167,71575,47.81,218547,2021,66053,UMESH RAI,BJP,5522,2.53
171,West Bengal,Howrah Madhya,"Arup Roy, S/o Late Prabhat Roy",MALE,65.0,GENERAL,TMC,111343,211,111554,57.16,266542,2021,65007,Sanjay Singh,BJP,46547,17.46
172,West Bengal,Shibpur,Manoj Tiwary,MALE,35.0,GENERAL,TMC,92048,324,92372,50.69,233676,2021,59769,Rathin Chakrabarty,BJP,32603,13.95
173,West Bengal,Howrah Dakshin,NANDITA CHOWDHURY,FEMALE,60.0,GENERAL,TMC,116651,188,116839,53.86,294243,2021,66270,RANTIDEV SENGUPTA,BJP,50569,17.19
174,West Bengal,Sankrail,PRIYA PAUL,FEMALE,50.0,SC,TMC,111758,130,111888,50.37,277076,2021,71461,PROBHAKAR PANDIT,BJP,40427,14.59
175,West Bengal,Panchla,GULSAN MULLICK,MALE,63.0,GENERAL,TMC,104377,195,104572,48.19,266183,2021,71821,MOHIT LAL GHANTI,BJP,32751,12.3
176,West Bengal,Uluberia Purba,BIDESH RANJAN BOSE,MALE,67.0,GENERAL,TMC,86322,204,86526,44.83,233764,2021,69400,PRATYUSH MANDAL,BJP,17126,7.33
177,West Bengal,Uluberia Uttar,Dr. Nirmal Maji,MALE,60.0,SC,TMC,91324,177,91501,49.25,224423,2021,70498,CHIRAN BERA,BJP,21003,9.36
178,West Bengal,Uluberia Dakshin,PULAK ROY,MALE,55.0,GENERAL,TMC,101796,84,101880,50.37,237620,2021,73442,PAPIA DEY (ADHIKARY),BJP,28438,11.97
179,West Bengal,Shyampur,KALIPADA MANDAL,MALE,76.0,GENERAL,TMC,114542,262,114804,51.74,257593,2021,83293,TNUSREE CHAKRABORTY,BJP,31511,12.23
180,West Bengal,Bagnan,Arunava Sen (Raja),MALE,45.0,GENERAL,TMC,105867,175,106042,53.04,231216,2021,75922,Anupam Mallik,BJP,30120,13.03
181,West Bengal,Amta,SUKANTA KUMAR PAUL,MALE,41.0,GENERAL,TMC,102344,101,102445,49.06,261881,2021,76240,DEBTANU BHATTACHARYA,BJP,26205,10.01
182,West Bengal,Udaynarayanpur,SAMIR KUMAR PANJA,MALE,55.0,GENERAL,TMC,101023,487,101510,51.21,235467,2021,87512,SUMIT RANJAN KARAR,BJP,13998,5.94
183,West Bengal,Jagatballavpur,SITANATH GHOSH,MALE,67.0,GENERAL,TMC,116137,425,116562,49.45,288158,2021,87366,ANUPAM GHOSH,BJP,29196,10.13
184,West Bengal,Domjur,KALYAN GHOSH,MALE,60.0,GENERAL,TMC,130278,221,130499,52.0,299250,2021,87879,RAJIB BANERJEE S/O- LATE DHANANJOY BANERJEE,BJP,42620,14.24
185,West Bengal,Uttarpara,KANCHAN MULLICK,MALE,50.0,GENERAL,TMC,93334,544,93878,46.96,259814,2021,57889,PRABIR KUMAR GHOSAL,BJP,35989,13.85
186,West Bengal,Sreerampur,DR. SUDIPTO ROY,MALE,72.0,GENERAL,TMC,92435,586,93021,49.46,252758,2021,69588,KABIR SHANKAR BOSE,BJP,23433,9.27
187,West Bengal,Champdani,ARINDAM GUIN (BUBAI),MALE,44.0,GENERAL,TMC,100512,460,100972,50.2,263372,2021,70894,DILIP SINGH,BJP,30078,11.42
188,West Bengal,Singur,BECHARAM MANNA,MALE,50.0,GENERAL,TMC,99852,1225,101077,48.15,246867,2021,75154,RABINDRANATH BHATTACHARYA,BJP,25923,10.5
189,West Bengal,Chandannagar,INDRANIL SEN,MALE,55.0,GENERAL,TMC,85604,1174,86778,47.63,229572,2021,55749,DEEPANJAN KUMAR GUHA,BJP,31029,13.52
190,West Bengal,Chunchura,Asit Mazumder (Tapan),MALE,63.0,GENERAL,TMC,115802,1302,117104,45.97,314274,2021,98687,Locket Chatterjee,BJP,18417,5.86
191,West Bengal,Balagarh,MANORANJAN BAPARI,MALE,55.0,SC,TMC,99524,840,100364,45.63,258955,2021,94580,SUBHAS CHANDRA HALDAR,BJP,5784,2.23
192,West Bengal,Pandua,Dr. Ratna De Nag,FEMALE,71.0,GENERAL,TMC,102128,746,102874,45.99,270503,2021,71016,Partha Sharma,BJP,31858,11.78
193,West Bengal,Saptagram,TAPAN DASGUPTA,MALE,65.0,GENERAL,TMC,92689,639,93328,48.56,234840,2021,83556,DEBABRATA BISWAS,BJP,9772,4.16
194,West Bengal,Chanditala,SWATI KHANDOKER,FEMALE,54.0,GENERAL,TMC,102719,399,103118,49.79,263257,2021,61771,DEBASHISH DASGUPTA(YASH D GUPTAA),BJP,41347,15.71
195,West Bengal,Jangipara,SNEHASIS CHAKRABORTY,MALE,51.0,GENERAL,TMC,101054,831,101885,48.42,257025,2021,83959,DEBJIT SARKAR,BJP,17926,6.97
196,West Bengal,Haripal,Dr. Karabi Manna,FEMALE,46.0,GENERAL,TMC,109128,1087,110215,49.92,269649,2021,87143,Samiran Mitra,BJP,23072,8.56
197,West Bengal,Dhanekhali,ASIMA PATRA,FEMALE,53.0,SC,TMC,123509,1267,124776,53.36,271518,2021,94617,TUSAR KUMAR MAJUMDAR,BJP,30159,11.11
198,West Bengal,Tarakeswar,RAMENDU SINHARAY,MALE,54.0,GENERAL,TMC,95384,1314,96698,46.96,239820,2021,89214,Dr. Swapan Dasgupta,BJP,7484,3.12
199,West Bengal,Pursurah,BIMAN GHOSH,MALE,36.0,GENERAL,BJP,118607,727,119334,53.5,259988,2021,91156,DILIP YADAV,TMC,28178,10.84
200,West Bengal,Arambag,MADHUSUDAN BAG,MALE,49.0,SC,BJP,102518,590,103108,46.88,257621,2021,95936,SUJATA MONDAL,TMC,7172,2.78
201,West Bengal,Goghat,BISWANATH KARAK,MALE,60.0,SC,BJP,101743,484,102227,46.56,246570,2021,98080,MANAS MAJUMDAR,TMC,4147,1.68
202,West Bengal,Khanakul,SUSANTA GHOSH,MALE,32.0,GENERAL,BJP,106819,584,107403,49.27,277259,2021,94519,MUNSI NAZBUL KARIM,TMC,12884,4.65
203,West Bengal,Tamluk,Saumen Kumar Mahapatra,MALE,65.0,GENERAL,TMC,107441,802,108243,45.86,266881,2021,107450,Hare Krishna Bera,BJP,793,0.3
204,West Bengal,Panskura Purba,Biplab Roy Chowdhury,MALE,74.0,GENERAL,TMC,90972,241,91213,45.97,236306,2021,81553,Debabrata Pattanayek,BJP,9660,4.09
205,West Bengal,Panskura Paschim,PHIROJA BIBI,FEMALE,70.0,GENERAL,TMC,111047,658,111705,47.71,274092,2021,102816,SINTU SENAPATI,BJP,8889,3.24
206,West Bengal,Moyna,Ashoke Dinda,MALE,35.0,GENERAL,BJP,107054,1055,108109,48.17,255164,2021,106849,Sangram Kumar Dolai,TMC,1260,0.49
207,West Bengal,Nandakumar,SUKUMAR DE,MALE,60.0,GENERAL,TMC,107330,851,108181,47.6,253829,2021,102775,ADHIKARY NILANJAN,BJP,5406,2.13
208,West Bengal,Mahisadal,TILAK KUMAR CHAKRABORTY,MALE,55.0,GENERAL,TMC,100768,1218,101986,46.49,245266,2021,99600,BISWANATH BANERJEE,BJP,2386,0.97
209,West Bengal,Haldia,Tapasi Mondal,FEMALE,49.0,SC,BJP,103489,637,104126,47.15,251051,2021,89118,Swapan Naskar,TMC,15008,5.98
210,West Bengal,Nandigram,ADHIKARI SUVENDU,MALE,50.0,GENERAL,BJP,109673,1091,110764,48.49,257999,2021,108808,Mamata Banerjee,TMC,1956,0.76
211,West Bengal,Chandipur,Soham Chakraborty,MALE,37.0,GENERAL,TMC,109193,577,109770,49.82,245775,2021,96298,Pulak Kanti Guria,BJP,13472,5.48
212,West Bengal,Patashpur,UTTAM BARIK,MALE,46.0,GENERAL,TMC,104268,1031,105299,50.42,236413,2021,95305,AMBUJAKSHA MAHANTI,BJP,9994,4.23
213,West Bengal,Kanthi Uttar,SUMITA SINHA,FEMALE,53.0,GENERAL,BJP,112677,847,113524,49.7,257427,2021,104194,TARUN KUMAR JANA,TMC,9330,3.62
214,West Bengal,Bhagabanpur,RABINDRANATH MAITY,MALE,50.0,GENERAL,BJP,120633,847,121480,54.56,254184,2021,93931,ARDHENDU MAITY,TMC,27549,10.84
215,West Bengal,Khejuri,SANTANU PRAMANIK,MALE,36.0,SC,BJP,109697,710,110407,51.93,238630,2021,92442,PARTHA PRATIM DAS,TMC,17965,7.53
216,West Bengal,Kanthi Dakshin,ARUP KUMAR DAS,MALE,63.0,GENERAL,BJP,97499,978,98477,50.58,224657,2021,88184,JYOTIRMOY KAR,TMC,10293,4.58
217,West Bengal,Ramnagar,AKHIL GIRI,MALE,62.0,GENERAL,TMC,111870,752,112622,50.72,264900,2021,100105,SWADESH RANJAN NAYAK,BJP,12517,4.73
218,West Bengal,Egra,TARUN KUMAR MAITY,MALE,53.0,GENERAL,TMC,124805,958,125763,52.22,284614,2021,107272,ARUP DASH,BJP,18491,6.5
219,West Bengal,Dantan,BIKRAM CHANDRA PRADHAN,MALE,67.0,GENERAL,TMC,94609,600,95209,48.13,233841,2021,94586,Saktipada Nayak,BJP,623,0.27
220,West Bengal,Nayagram,DULAL MURMU,MALE,44.0,ST,TMC,99825,1078,100903,52.46,226791,2021,78149,BAKUL MURMU,BJP,22754,10.03
221,West Bengal,Gopiballavpur,Dr. Khagendra Nath Mahata,MALE,39.0,GENERAL,TMC,102710,1405,104115,52.3,226417,2021,80347,Sanjit Mahata,BJP,23768,10.5
222,West Bengal,Jhargram,BIRBAHA HANSDA,FEMALE,38.0,ST,TMC,108044,1449,109493,54.26,236035,2021,71253,SUKHAMAY SATPATHY (JAHAR),BJP,38240,16.2
223,West Bengal,Keshiary,PARESH MURMU,MALE,52.0,ST,TMC,105826,540,106366,50.01,238835,2021,91036,SONALI MURMU SOREN,BJP,15330,6.42
224,West Bengal,Kharagpur Sadar,HIRANMOY CHATTOPADHYAYA,MALE,45.0,GENERAL,BJP,79129,478,79607,46.45,234672,2021,75836,PRADIP SARKAR,TMC,3771,1.61
225,West Bengal,Narayangarh,ATTA SURJA KANTA,MALE,57.0,GENERAL,TMC,100440,454,100894,46.33,243832,2021,98478,RAMA PRASAD GIRI,BJP,2416,0.99
226,West Bengal,Sabang,MANAS RANJAN BHUNIA,MALE,68.0,GENERAL,TMC,110370,1728,112098,47.46,264783,2021,102234,AMULYA MAITY,BJP,9864,3.73
227,West Bengal,Pingla,AJIT MAITY,MALE,66.0,GENERAL,TMC,111624,811,112435,49.17,255054,2021,105779,ANTARA BHATTACHARYYA,BJP,6656,2.61
228,West Bengal,Kharagpur,DINEN ROY,MALE,65.0,GENERAL,TMC,109250,477,109727,54.85,227081,2021,73497,TAPAN BHUYA,BJP,36230,15.95
229,West Bengal,Debra,HUMAYUN KABIR,MALE,59.0,GENERAL,TMC,94683,1167,95850,46.79,234184,2021,84624,BHARATI GHOSH,BJP,11226,4.79
230,West Bengal,Daspur,MAMATA BHUNIA,FEMALE,59.0,GENERAL,TMC,113911,842,114753,51.58,298096,2021,87911,PRASANTA BERA,BJP,26842,9.0
231,West Bengal,Ghatal,SITAL KAPAT,MALE,31.0,SC,BJP,104753,1059,105812,46.95,279908,2021,104846,SHANKAR DOLAI,TMC,966,0.35
232,West Bengal,Chandrakona,ARUP DHARA,MALE,40.0,SC,TMC,121315,531,121846,48.87,279867,2021,110565,SIBARAM DAS,BJP,11281,4.03
233,West Bengal,Garbeta,Uttara Singha (Hazra),FEMALE,56.0,GENERAL,TMC,94358,570,94928,45.71,232046,2021,84356,Madan Ruidas,BJP,10572,4.56
234,West Bengal,Salboni,Srikanta Mahata,MALE,45.0,GENERAL,TMC,125097,923,126020,50.57,276940,2021,93376,Rajib Kundu,BJP,32644,11.79
235,West Bengal,Keshpur,Seuli Saha,FEMALE,51.0,SC,TMC,116520,472,116992,50.81,261529,2021,96272,Pritish Ranjan Kuar,BJP,20720,7.92
236,West Bengal,Medinipur,June Maliah,FEMALE,51.0,GENERAL,TMC,119964,1211,121175,50.72,280060,2021,96778,Samit Kumar Dash,BJP,24397,8.71
237,West Bengal,Binpur,DEBNATH HANSDA,MALE,38.0,ST,TMC,99786,491,100277,53.11,224036,2021,60783,PALAN SAREN,BJP,39494,17.63
238,West Bengal,Bandwan,RAJIB LOCHAN SAREN,MALE,47.0,ST,TMC,112183,1154,113337,47.02,284840,2021,94506,PARCY MURMU,BJP,18831,6.61
239,West Bengal,Balarampur,BANESWAR MAHATO,MALE,48.0,GENERAL,BJP,88803,718,89521,45.22,238113,2021,89098,SHANTIRAM MAHATO,TMC,423,0.18
240,West Bengal,Baghmundi,Sushanta Mahato,MALE,39.0,GENERAL,TMC,75245,660,75905,36.79,249613,2021,61936,Ashutosh Mahato,AJSUP,13969,5.6
241,West Bengal,Joypur,Nara Hari Mahato,MALE,65.0,GENERAL,BJP,73713,667,74380,36.68,249621,2021,62180,Phanibhushan Kumar,INC,12200,4.89
242,West Bengal,Purulia,Sudip Kumar Mukherjee,MALE,51.0,GENERAL,BJP,88899,834,89733,43.38,258947,2021,82715,Sujoy Banerjee,TMC,7018,2.71
243,West Bengal,Manbazar,SANDHYARANI TUDU,FEMALE,50.0,ST,TMC,102169,1129,103298,48.33,253708,2021,87782,GOURI SINGH SARDAR,BJP,15516,6.12
244,West Bengal,Kashipur,KAMALAKANTA HANSDA,MALE,46.0,ST,BJP,92061,877,92938,47.69,238871,2021,85551,SWAPAN KUMAR BELTHARIA,TMC,7387,3.09
245,West Bengal,Para,NADIAR CHAND BOURI,MALE,43.0,SC,BJP,86930,417,87347,45.02,243906,2021,83340,UMAPADA BAURI,TMC,4007,1.64
246,West Bengal,Raghunathpur,Vivekananda Bauri,MALE,44.0,SC,BJP,94994,776,95770,44.61,259434,2021,90332,Bouri Hazari,TMC,5438,2.1
247,West Bengal,Saltora,BAURI CHANDANA,FEMALE,30.0,SC,BJP,91032,616,91648,45.28,232517,2021,87503,SONTOSH KUMAR MONDAL,TMC,4145,1.78
248,West Bengal,Chhatna,SATYANARAYAN MUKHOPADHYAY,MALE,51.0,GENERAL,BJP,89511,722,90233,45.84,242270,2021,83069,SUBASISH BATABYAL,TMC,7164,2.96
249,West Bengal,Ranibandh,Jyotsna Mandi,FEMALE,35.0,ST,TMC,90064,864,90928,43.06,253359,2021,86989,Kshudiram Tudu,BJP,3939,1.55
250,West Bengal,Raipur,MRITYUNJOY MURMU,MALE,47.0,ST,TMC,100387,656,101043,51.96,224604,2021,81645,SUDHANSHU HANSDA,BJP,19398,8.64
251,West Bengal,Taldangra,ARUP CHAKRABORTY,MALE,65.0,GENERAL,TMC,91146,880,92026,45.29,233291,2021,79649,SHYAMAL KUMAR SARKAR (BENU),BJP,12377,5.31
252,West Bengal,Bankura,NILADRI SEKHAR DANA,MALE,54.0,GENERAL,BJP,94470,996,95466,43.79,269829,2021,93998,SAYANTIKA BANERJEE,TMC,1468,0.54
253,West Bengal,Barjora,ALOK MUKHERJEE,MALE,61.0,GENERAL,TMC,92672,618,93290,42.51,250729,2021,90021,SUPRITI CHATTERJEE,BJP,3269,1.3
254,West Bengal,Onda,AMARNATH SHAKHA,MALE,56.0,GENERAL,BJP,104248,692,104940,46.48,256906,2021,93389,ARUP KUMAR KHAN,TMC,11551,4.5
255,West Bengal,Bishnupur,TANMAY GHOSH (BUMBA),MALE,41.0,GENERAL,BJP,88743,946,89689,46.84,219284,2021,78269,ARCHITA BID,TMC,11420,5.21
256,West Bengal,Katulpur,HARAKALI PROTIHER,MALE,40.0,SC,BJP,104635,1387,106022,47.31,246785,2021,94237,SANGEETA MALIK,TMC,11785,4.78
257,West Bengal,Indus,NIRMAL KUMAR DHARA,MALE,39.0,SC,BJP,104163,773,104936,48.04,242938,2021,97716,RUNU METE,TMC,7220,2.97
258,West Bengal,Sonamukhi,DIBAKAR GHARAMI,MALE,43.0,SC,BJP,97203,958,98161,47.25,233059,2021,87273,DR. SHYAMAL SANTRA,TMC,10888,4.67
259,West Bengal,Khandaghosh,NABIN CHANDRA BAG,MALE,45.0,SC,TMC,103278,986,104264,47.85,242730,2021,83378,BIJAN MANDAL,BJP,20886,8.6
260,West Bengal,Bardhaman Dakshin,KHOKAN DAS,MALE,54.0,GENERAL,TMC,90166,849,91015,44.32,257940,2021,82910,SANDIP NANDI,BJP,8105,3.14
261,West Bengal,Raina,Shampa Dhara,FEMALE,29.0,SC,TMC,107918,834,108752,47.46,258742,2021,90547,Manik Roy,BJP,18205,7.04
262,West Bengal,Jamalpur,ALOK KUMAR MAJHI,MALE,38.0,SC,TMC,96460,539,96999,46.93,235973,2021,79028,BALARAM BAPARI,BJP,17971,7.62
263,West Bengal,Monteswar,CHOWDHURY SIDDIQULLAH,MALE,71.0,GENERAL,TMC,104904,556,105460,50.45,242229,2021,73655,SAIKAT PANJA,BJP,31805,13.13
264,West Bengal,Kalna,DEBOPRASAD BAG (POLTU),MALE,44.0,SC,TMC,95704,369,96073,45.98,241471,2021,88595,BISWAJIT KUNDU,BJP,7478,3.1
265,West Bengal,Memari,MADHUSUDAN BHATTACHARYA,MALE,71.0,GENERAL,TMC,104374,477,104851,47.92,254236,2021,81773,BHISMADEB BHATTACHARYA,BJP,23078,9.08
266,West Bengal,Bardhaman Uttar,NISITH KUMAR MALIK,MALE,52.0,SC,TMC,110411,800,111211,45.97,277026,2021,93943,RADHA KANTA ROY,BJP,17268,6.23
267,West Bengal,Bhatar,ADHIKARI MANGOBINDA,MALE,66.0,GENERAL,TMC,107294,734,108028,50.44,246694,2021,76287,MAHENDRANATH KOWAR,BJP,31741,12.87
268,West Bengal,Purbasthali Dakshin,SWAPAN DEBNATH,MALE,70.0,GENERAL,TMC,105209,489,105698,49.08,248533,2021,88288,RAJIB KUMAR BHOWMICK,BJP,17410,7.01
269,West Bengal,Purbasthali Uttar,TAPAN CHATTERJEE,MALE,66.0,GENERAL,TMC,91724,697,92421,43.52,252626,2021,85715,GOBARDHAN DAS,BJP,6706,2.65
270,West Bengal,Katwa,Rabindranath Chatterjee,MALE,71.0,GENERAL,TMC,106907,987,107894,48.07,267738,2021,98739,Shyama Majumdar,BJP,9155,3.42
271,West Bengal,Ketugram,Sekh Sahonawez,MALE,62.0,GENERAL,TMC,99525,701,100226,46.55,258310,2021,87543,Anadi Ghosh (Mathura),BJP,12683,4.91
272,West Bengal,Mangalkot,Apurba Chowdhury (Achal),MALE,55.0,GENERAL,TMC,106851,745,107596,49.51,251003,2021,85259,Rana Protap Goswami,BJP,22337,8.9
273,West Bengal,Ausgram,ABHEDANANDA THANDER,MALE,58.0,SC,TMC,99837,555,100392,46.25,246956,2021,88577,KALITA MAJI,BJP,11815,4.78
274,West Bengal,Galsi,NEPAL GHORUI,MALE,43.0,SC,TMC,108875,629,109504,49.21,256642,2021,90242,BIKASH BISWAS,BJP,19262,7.51
275,West Bengal,Pandabeswar,NARENDRANATH CHAKRABORTY,MALE,57.0,GENERAL,TMC,73015,907,73922,44.99,211960,2021,70119,KUMAR JITENDRA TEWARI,BJP,3803,1.79
276,West Bengal,Durgapur Purba,PRADIP MAZUMDAR,MALE,74.0,GENERAL,TMC,78457,846,79303,41.16,256531,2021,75557,COLONEL DIPTANSU CHAUDHURY,BJP,3746,1.46
277,West Bengal,Durgapur Paschim,LAKSHMAN CHANDRA GHORUI,MALE,49.0,GENERAL,BJP,90589,597,91186,46.31,269303,2021,76522,BISWANATH PARIAL,TMC,14664,5.45
278,West Bengal,Raniganj,TAPAS BANERJEE,MALE,67.0,GENERAL,TMC,77528,636,78164,42.9,250813,2021,74608,DR. BIJAN MUKHERJEE,BJP,3556,1.42
279,West Bengal,Jamuria,HARERAM SINGH,MALE,67.0,GENERAL,TMC,70533,469,71002,42.59,221419,2021,62951,TAPAS KUMAR ROY,BJP,8051,3.64
280,West Bengal,Asansol Dakshin,AGNIMITRA PAUL,FEMALE,48.0,GENERAL,BJP,87156,725,87881,45.13,274245,2021,83394,SAYANI GHOSH,TMC,4487,1.64
281,West Bengal,Asansol Uttar,Ghatak Moloy,MALE,65.0,GENERAL,TMC,99691,1240,100931,52.32,275796,2021,79821,Krishnendu Mukherjee,BJP,21110,7.65
282,West Bengal,Kulti,AJAY KUMAR PODDAR,MALE,63.0,GENERAL,BJP,80733,379,81112,46.41,251671,2021,80433,UJJAL CHATTERJEE,TMC,679,0.27
283,West Bengal,Barabani,BIDHAN UPADHYAY,MALE,51.0,GENERAL,TMC,87251,1179,88430,52.26,225596,2021,64973,ARIJIT ROY,BJP,23457,10.4
284,West Bengal,Dubrajpur,Anup Kumar Saha,MALE,34.0,SC,BJP,97072,1011,98083,47.94,241742,2021,94220,Debabrata Saha,TMC,3863,1.6
285,West Bengal,Suri,BIKASH ROYCHOUDHURY,MALE,68.0,GENERAL,TMC,104445,1426,105871,48.43,263557,2021,98551,CHATTOPADHYAY JAGANNATH,BJP,7320,2.78
286,West Bengal,Bolpur,SINHA CHANDRANATH,MALE,58.0,GENERAL,TMC,114842,1601,116443,50.57,273896,2021,94163,ANIRBAN GANGULY,BJP,22280,8.13
287,West Bengal,Nanoor,BIDHAN CHANDRA MAJHI,MALE,40.0,SC,TMC,110764,1352,112116,47.64,276777,2021,105446,TARAKESWAR SAHA,BJP,6670,2.41
288,West Bengal,Labpur,ABHIJIT SINHA (RANA),MALE,54.0,GENERAL,TMC,107089,1334,108423,51.14,240044,2021,90448,BISWAJIT MONDAL,BJP,17975,7.49
289,West Bengal,Sainthia,NILABATI SAHA,FEMALE,50.0,SC,TMC,109041,1531,110572,49.84,255959,2021,95329,PIYA SAHA,BJP,15243,5.96
290,West Bengal,Mayureswar,ABHIJIT ROY,MALE,52.0,GENERAL,TMC,99378,1047,100425,50.36,230682,2021,88350,Shyamapada Mondal,BJP,12075,5.23
291,West Bengal,Rampurhat,ASISH BANERJEE,MALE,69.0,GENERAL,TMC,102251,1025,103276,47.52,260812,2021,94804,SUBHASIS CHOUDHURY (KHOKAN),BJP,8472,3.25
292,West Bengal,Hansan,Dr. ASOK KUMAR CHATTOPADHYAY,MALE,63.0,GENERAL,TMC,107429,860,108289,51.42,248113,2021,57676,NIKHIL BANERJEE,BJP,50613,20.4
293,West Bengal,Nalhati,RAJENDRA PRASAD SINGH (RAJU SINGH),MALE,48.0,GENERAL,TMC,116667,771,117438,56.54,244837,2021,60533,TAPAS KUMAR YADAV(ANANDA YADAV),BJP,56905,23.24
294,West Bengal,Murarai,DR MOSARRAF HOSSAIN,MALE,58.0,GENERAL,TMC,145405,1091,146496,67.23,263200,2021,48250,DEBASISH ROY,BJP,98246,37.33
