ac_no,state,ac_name,candidate,gender,age,category,party,general_votes,postal_votes,total_votes,vote_pct,total_electors,year,runner_up_votes,runner_up_candidate,runner_up_party,win_margin,win_margin_pct
176,West Bengal,ULUBERIA PURBA,Ritabrata Banerjee,MALE,47.0,GENERAL,TMC,95280,353,95633,45.97,218601,2026,83795,Rudra Prosad Banerjee,BJP,11838,5.42
177,West Bengal,ULUBERIA UTTAR (SC),Chiran Bera,MALE,38.0,SC,BJP,92749,571,93320,45.87,214715,2026,89143,Bimal Kumar Das,TMC,4177,1.95
178,West Bengal,ULUBERIA DAKSHIN,Pulak Roy,MALE,59.0,GENERAL,TMC,109217,432,109649,48.46,237104,2026,92462,Swami Mangalananda Puri,BJP,17187,7.25
179,West Bengal,SHYAMPUR,Dr. Hiranmoy Chattopadhyaya (hiraan),MALE,49.0,GENERAL,BJP,124708,943,125651,51.36,259440,2026,103391,Nadebasi Jana,TMC,22260,8.58
180,West Bengal,BAGNAN,Arunava Sen,MALE,50.0,GENERAL,TMC,104458,602,105060,48.1,230726,2026,93744,Pramanshu Rana,BJP,11316,4.9
181,West Bengal,AMTA,Amit Samanta,MALE,35.0,GENERAL,BJP,104133,516,104649,44.16,257113,2026,100195,Sukanta Kumar Paul,TMC,4454,1.73
182,West Bengal,UDAYNARAYANPUR,Samir Kumar Panja,MALE,61.0,GENERAL,TMC,105116,686,105802,49.53,229303,2026,93575,Probhakar Pandit,BJP,12227,5.33
183,West Bengal,JAGATBALLAVPUR,Anupam Ghosh,MALE,47.0,GENERAL,BJP,115077,531,115608,45.78,270866,2026,108937,Subir Chatterjee (tinkai),TMC,6671,2.46
184,West Bengal,DOMJUR,Tapas Maity,MALE,46.0,GENERAL,TMC,133633,403,134036,52.73,269344,2026,91859,Gobinda Hazra,BJP,42177,15.66
185,West Bengal,UTTARPARA,Dipanjan Chakraborty,MALE,60.0,GENERAL,BJP,80144,468,80612,39.24,228576,2026,70197,Sirsanya Bandopadhyay,TMC,10415,4.56
186,West Bengal,SREERAMPUR,Bhaskar Bhattacharya,MALE,68.0,GENERAL,BJP,85079,565,85644,45.97,206216,2026,76959,Tanmoy Ghosh,TMC,8685,4.21
187,West Bengal,CHAMPDANI,Dilip Singh,MALE,50.0,GENERAL,BJP,92979,725,93704,45.84,222304,2026,90678,Arindam Guin (bubai),TMC,3026,1.36
188,West Bengal,SINGUR,Arup Kumar Das,MALE,52.0,GENERAL,BJP,112332,676,113008,50.77,237516,2026,91570,Becharam Manna,TMC,21438,9.03
189,West Bengal,CHANDANNAGAR,Deepanjan Kumar Guha,MALE,44.0,GENERAL,BJP,85395,878,86273,46.16,203795,2026,72832,Indranil Sen,TMC,13441,6.6
190,West Bengal,CHUNCHURA,Subir Nag,MALE,53.0,GENERAL,BJP,135877,1827,137704,53.96,276244,2026,94269,Debangshu Bhattacharya,TMC,43435,15.72
191,West Bengal,BALAGARH (SC),Sumana Sarkar,FEMALE,44.0,SC,BJP,124850,774,125624,55.58,240491,2026,83710,Ranjan Dhara,TMC,41914,17.43
192,West Bengal,PANDUA,Tusar Kumar Majumdar,MALE,46.0,GENERAL,BJP,100798,551,101349,43.36,249215,2026,96121,Samir Chakraborty,TMC,5228,2.1
193,West Bengal,SAPTAGRAM,Swaraj Ghosh,MALE,45.0,GENERAL,BJP,101726,688,102414,52.1,210597,2026,79125,Bidesh Ranjan Bose,TMC,23289,11.06
194,West Bengal,CHANDITALA,Swati Khandoker,FEMALE,58.0,GENERAL,TMC,106819,324,107143,47.1,246622,2026,87480,Debasish Mukherjee,BJP,19663,7.97
195,West Bengal,JANGIPARA,Prosenjit Bag,MALE,50.0,SC,BJP,101748,661,102409,44.09,251164,2026,101547,Snehasis Chakraborty,TMC,862,0.34
196,West Bengal,HARIPAL,Madhumita Ghosh,FEMALE,52.0,GENERAL,BJP,112324,1008,113332,46.07,264434,2026,109844,Karabi Manna,TMC,3488,1.32
197,West Bengal,DHANEKHALI (SC),Asima Patra,FEMALE,58.0,SC,TMC,122817,645,123462,49.85,262844,2026,110405,Barnali Das,BJP,13057,4.97
198,West Bengal,TARAKESWAR,Santu Pan,MALE,29.0,GENERAL,BJP,115792,1109,116901,52.76,235634,2026,85902,Ramendu Sinharay,TMC,30999,13.16
199,West Bengal,PURSURAH,Biman Ghosh,MALE,42.0,GENERAL,BJP,137712,1109,138821,57.62,259825,2026,85368,Partha Hazari,TMC,53453,20.57
200,West Bengal,ARAMBAG (SC),Bag Hemanta,MALE,31.0,SC,BJP,121926,1074,123000,52.15,253519,2026,94041,Bag Mita,TMC,28959,11.42
201,West Bengal,GOGHAT (SC),Prasanta Digar,MALE,39.0,SC,BJP,133441,1057,134498,57.4,248328,2026,84916,Dr. Nirmal Maji,TMC,49582,19.97
202,West Bengal,KHANAKUL,Susanta Ghosh,MALE,37.0,GENERAL,BJP,126019,710,126729,53.44,268692,2026,92246,Palash Kumar Roy,TMC,34483,12.83
203,West Bengal,TAMLUK,Hare Krishna Bera,MALE,66.0,GENERAL,BJP,135055,1511,136566,53.15,274816,2026,101837,Dipendra Narayan Roy,TMC,34729,12.64
204,West Bengal,PANSKURA PURBA,Subrata Maity(rana),MALE,43.0,GENERAL,BJP,108574,690,109264,49.5,238674,2026,91361,Ashim Kumar Maji,TMC,17903,7.5
205,West Bengal,PANSKURA PASCHIM,Sintu Senapati,MALE,35.0,GENERAL,BJP,136447,1472,137919,53.37,279248,2026,105352,Siraj Khan,TMC,32567,11.66
206,West Bengal,MOYNA,Ashoke Dinda,MALE,43.0,GENERAL,BJP,125506,1660,127166,51.62,265481,2026,110925,Chandan Mondal,TMC,16241,6.12
207,West Bengal,NANDAKUMAR,Khanra Nirmal,MALE,40.0,GENERAL,BJP,130333,1143,131476,52.73,264738,2026,100873,Sukumar De,TMC,30603,11.56
