ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,roll_change_pct,turnout_change_pts,outcome
241,JOYPUR,Purulia,Jangalmahal,GEN,BJP,BJP,Nara Hari Mahato,Biswajit Mahato,12200,22218.0,6.02,9.53,249621,254082.0,81.23,91.78,1.79,10.55,Held
242,PURULIA,Purulia,Jangalmahal,GEN,BJP,BJP,Sudip Kumar Mukherjee,Sudip Kumar Mukherjee,7018,49253.0,3.39,21.35,258947,252313.0,79.89,91.42,-2.56,11.53,Held
243,MANBAZAR,Purulia,Jangalmahal,ST,TMC,BJP,SANDHYARANI TUDU,Mayna Murmu,15516,27283.0,7.26,11.54,253708,255913.0,84.24,92.4,0.87,8.16,TMC to BJP
244,KASHIPUR,Purulia,Jangalmahal,GEN,BJP,BJP,KAMALAKANTA HANSDA,Kamala Kanta Hansda,7387,21276.0,3.79,10.04,238871,229972.0,81.59,92.17,-3.73,10.58,Held
245,PARA,Purulia,Jangalmahal,SC,BJP,BJP,NADIAR CHAND BOURI,Nadiar Chand Bouri,4007,33721.0,2.07,15.62,243906,236360.0,79.55,91.36,-3.09,11.81,Held
246,RAGHUNATHPUR,Purulia,Jangalmahal,SC,BJP,BJP,Vivekananda Bauri,Mamoni Bauri,5438,44059.0,2.53,18.79,259434,254449.0,82.75,92.13,-1.92,9.38,Held
247,SALTORA,Bankura,Jangalmahal,SC,BJP,BJP,BAURI CHANDANA,Chandana Bauri,4145,32135.0,2.05,14.71,232517,233527.0,87.05,93.56,0.43,6.51,Held
248,CHHATNA,Bankura,Jangalmahal,GEN,BJP,BJP,SATYANARAYAN MUKHOPADHYAY,Satyanarayan Mukhopadhyay,7164,47174.0,3.64,21.25,242270,242884.0,81.25,91.38,0.25,10.13,Held
249,RANIBANDH,Bankura,Jangalmahal,ST,TMC,BJP,Jyotsna Mandi,Kshudiram Tudu,3939,52269.0,1.87,22.07,253359,255198.0,83.35,92.8,0.73,9.45,TMC to BJP
250,RAIPUR,Bankura,Jangalmahal,ST,TMC,BJP,MRITYUNJOY MURMU,Kshetramohan Hansda,19398,28742.0,9.97,13.67,224604,224609.0,86.59,93.59,0.0,7.0,TMC to BJP
251,TALDANGRA,Bankura,Jangalmahal,GEN,TMC,BJP,ARUP CHAKRABORTY,Souvik Patra,12377,50073.0,6.09,22.77,233291,236732.0,87.1,92.91,1.47,5.81,TMC to BJP
252,BANKURA,Bankura,Jangalmahal,GEN,BJP,BJP,NILADRI SEKHAR DANA,Niladri Sekhar Dana,1468,54177.0,0.67,22.64,269829,261565.0,80.79,91.5,-3.06,10.71,Held
253,BARJORA,Bankura,Jangalmahal,GEN,TMC,BJP,ALOK MUKHERJEE,Billeswar Sinha,3269,41310.0,1.49,17.55,250729,252205.0,87.53,93.32,0.59,5.79,TMC to BJP
254,ONDA,Bankura,Jangalmahal,GEN,BJP,BJP,AMARNATH SHAKHA,Amarnath Shakha,11551,31723.0,5.12,12.88,256906,263110.0,87.88,93.61,2.41,5.73,Held
255,BISHNUPUR,Bankura,Jangalmahal,GEN,BJP,BJP,TANMAY GHOSH (BUMBA),Shukla Chatterjee,11420,30605.0,5.96,14.75,219284,220848.0,87.32,93.95,0.71,6.63,Held
256,KATULPUR,Bankura,Jangalmahal,SC,BJP,BJP,HARAKALI PROTIHER,Lakshmi Kanta Majumdar,11785,34367.0,5.26,14.3,246785,254394.0,90.82,94.44,3.08,3.62,Held
257,INDUS,Bankura,Jangalmahal,SC,BJP,BJP,NIRMAL KUMAR DHARA,Nirmal Kumar Dhara,7220,900.0,3.31,0.39,242938,245791.0,89.92,94.55,1.17,4.63,Held
258,SONAMUKHI,Bankura,Jangalmahal,SC,BJP,BJP,DIBAKAR GHARAMI,Dibakar Gharami,10888,29410.0,5.24,13.26,233059,236292.0,89.14,93.89,1.39,4.75,Held
259,KHANDAGHOSH,Purba Bardhaman,Rarh Bengal,SC,TMC,TMC,NABIN CHANDRA BAG,Nabin Chandra Bag,20886,8284.0,9.59,3.71,242730,233783.0,89.77,95.49,-3.69,5.72,Held
260,BARDHAMAN DAKSHIN,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,KHOKAN DAS,Moumita Biswas Misra,8105,30470.0,3.95,14.88,257940,222117.0,79.61,92.21,-13.89,12.6,TMC to BJP
261,RAINA,Purba Bardhaman,Rarh Bengal,SC,TMC,BJP,Shampa Dhara,Subhash Patra,18205,834.0,7.94,0.36,258742,246255.0,88.57,94.72,-4.83,6.15,TMC to BJP
262,JAMALPUR,Purba Bardhaman,Rarh Bengal,SC,TMC,BJP,ALOK KUMAR MAJHI,Arun Halder,17971,11178.0,8.69,5.2,235973,225551.0,87.59,95.22,-4.42,7.63,TMC to BJP
263,MONTESWAR,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,CHOWDHURY SIDDIQULLAH,Saikat Panja,31805,14798.0,15.22,7.25,242229,216968.0,86.3,94.1,-10.43,7.8,TMC to BJP
264,KALNA,Purba Bardhaman,Rarh Bengal,SC,TMC,BJP,DEBOPRASAD BAG (POLTU),Siddhartha Majumdar,7478,28630.0,3.58,13.43,241471,226568.0,86.53,94.11,-6.17,7.58,TMC to BJP
265,MEMARI,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,MADHUSUDAN BHATTACHARYA,Manab Guha,23078,7106.0,10.55,3.12,254236,239719.0,86.06,94.9,-5.71,8.84,TMC to BJP
266,BARDHAMAN UTTAR,Purba Bardhaman,Rarh Bengal,SC,TMC,TMC,NISITH KUMAR MALIK,Nisith Kumar Malik,17268,6460.0,7.14,2.61,277026,260510.0,87.33,95.17,-5.96,7.84,Held
267,BHATAR,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,ADHIKARI MANGOBINDA,Karfa Soumen,31741,6528.0,14.82,3.04,246694,226841.0,86.82,94.65,-8.05,7.83,TMC to BJP
268,PURBASTHALI DAKSHIN,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,SWAPAN DEBNATH,Pran Krishna Tapadar,17410,16662.0,8.08,7.57,248533,232857.0,86.65,94.5,-6.31,7.85,TMC to BJP
269,PURBASTHALI UTTAR,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,TAPAN CHATTERJEE,Gopal Chattopadhyay,6706,30226.0,3.16,13.44,252626,239934.0,84.05,93.73,-5.02,9.68,TMC to BJP
270,KATWA,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,Rabindranath Chatterjee,Krishna Ghosh,9155,35066.0,4.08,14.64,267738,257343.0,83.84,93.08,-3.88,9.24,TMC to BJP
271,KETUGRAM,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,Sekh Sahonawez,Anadi Ghosh,12683,27610.0,5.89,12.6,258310,234702.0,83.36,93.39,-9.14,10.03,TMC to BJP
272,MANGALKOT,Purba Bardhaman,Rarh Bengal,GEN,TMC,BJP,Apurba Chowdhury (Achal),Shishir Ghosh,22337,12723.0,10.28,5.8,251003,232205.0,86.58,94.42,-7.49,7.84,TMC to BJP
273,AUSGRAM,Purba Bardhaman,Rarh Bengal,SC,TMC,BJP,ABHEDANANDA THANDER,Kalita Maji,11815,12535.0,5.44,5.55,246956,236132.0,87.9,95.66,-4.38,7.76,TMC to BJP
274,GALSI,Purba Bardhaman,Rarh Bengal,SC,TMC,BJP,NEPAL GHORUI,Raju Patra,19262,10494.0,8.66,4.52,256642,244138.0,86.71,95.17,-4.87,8.46,TMC to BJP
275,PANDABESWAR,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,NARENDRANATH CHAKRABORTY,Jitendra Kumar Tewari,3803,1398.0,2.31,0.8,211960,188499.0,77.51,92.69,-11.07,15.18,TMC to BJP
276,DURGAPUR PURBA,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,PRADIP MAZUMDAR,Chandra Sekhar Banerjee,3746,30934.0,1.94,14.4,256531,237454.0,75.11,90.46,-7.44,15.35,TMC to BJP
277,DURGAPUR PASCHIM,Paschim Bardhaman,Rarh Bengal,GEN,BJP,BJP,LAKSHMAN CHANDRA GHORUI,Lakshman Chandra Ghorui,14664,37598.0,7.45,17.34,269303,238974.0,73.12,90.71,-11.26,17.59,Held
278,RANIGANJ,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,TAPAS BANERJEE,Partha Ghosh,3556,17786.0,1.95,9.05,250813,216243.0,72.65,90.86,-13.78,18.21,TMC to BJP
279,JAMURIA,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,HARERAM SINGH,Dr. Bijan Mukherjee,8051,22514.0,4.83,12.4,221419,196678.0,75.29,92.33,-11.17,17.04,TMC to BJP
280,ASANSOL DAKSHIN,Paschim Bardhaman,Rarh Bengal,GEN,BJP,BJP,AGNIMITRA PAUL,Agnimitra Paul,4487,40839.0,2.3,18.93,274245,239405.0,71.01,90.14,-12.7,19.13,Held
281,ASANSOL UTTAR,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,Ghatak Moloy,Krishnendu Mukherjee,21110,11615.0,10.94,5.52,275796,237089.0,69.95,88.83,-14.03,18.88,TMC to BJP
282,KULTI,Paschim Bardhaman,Rarh Bengal,GEN,BJP,BJP,AJAY KUMAR PODDAR,Ajay Kumar Poddar,679,26498.0,0.39,13.93,251671,210912.0,69.44,90.2,-16.2,20.76,Held
283,BARABANI,Paschim Bardhaman,Rarh Bengal,GEN,TMC,BJP,BIDHAN UPADHYAY,Arijit Roy,23457,11722.0,13.86,6.33,225596,202090.0,75.0,91.68,-10.42,16.68,TMC to BJP
284,DUBRAJPUR,Birbhum,Rarh Bengal,SC,BJP,BJP,Anup Kumar Saha,Anup Kumar Saha,3863,27647.0,1.89,12.56,241742,231802.0,84.64,94.99,-4.11,10.35,Held
285,SURI,Birbhum,Rarh Bengal,GEN,TMC,BJP,BIKASH ROYCHOUDHURY,Jagannath Chattopadhyay,7320,28686.0,3.35,12.03,263557,252420.0,82.94,94.49,-4.23,11.55,TMC to BJP
286,BOLPUR,Birbhum,Rarh Bengal,GEN,TMC,TMC,SINHA CHANDRANATH,Chandranath Sinha,22280,13188.0,9.68,5.35,273896,260376.0,84.07,94.61,-4.94,10.54,Held
287,NANOOR,Birbhum,Rarh Bengal,SC,TMC,TMC,BIDHAN CHANDRA MAJHI,Bidhan Chandra Majhi,6670,8122.0,2.83,3.21,276777,269616.0,85.02,93.88,-2.59,8.86,Held
288,LABPUR,Birbhum,Rarh Bengal,GEN,TMC,BJP,ABHIJIT SINHA (RANA),Debasis Ojha (haku Da),17975,3550.0,8.48,1.59,240044,235224.0,88.33,94.8,-2.01,6.47,TMC to BJP
289,SAINTHIA,Birbhum,Rarh Bengal,SC,TMC,BJP,NILABATI SAHA,Krishna Kanta Saha,15243,10306.0,6.87,4.27,255959,252442.0,86.68,95.54,-1.37,8.86,TMC to BJP
290,MAYURESWAR,Birbhum,Rarh Bengal,GEN,TMC,BJP,ABHIJIT ROY,Dudh Kumar Mondal,12075,21002.0,6.05,9.84,230682,226302.0,86.45,94.33,-1.9,7.88,TMC to BJP
291,RAMPURHAT,Birbhum,Rarh Bengal,GEN,TMC,BJP,ASISH BANERJEE,Dhruba Saha,8472,24233.0,3.9,10.37,260812,245490.0,83.33,95.21,-5.87,11.88,TMC to BJP
292,HANSAN,Birbhum,Rarh Bengal,GEN,TMC,TMC,Dr. ASOK KUMAR CHATTOPADHYAY,Fayezul Haque (kajal Sk),50613,28298.0,24.03,12.49,248113,237652.0,84.88,95.33,-4.22,10.45,Held
293,NALHATI,Birbhum,Rarh Bengal,GEN,TMC,TMC,RAJENDRA PRASAD SINGH (RAJU SINGH),Rajendra Prasad Singh(raju Singh),56905,13446.0,27.4,6.04,244837,232063.0,84.83,95.89,-5.22,11.06,Held
294,MURARAI,Birbhum,Rarh Bengal,GEN,TMC,TMC,DR MOSARRAF HOSSAIN,Dr. Mosarraf Hossain,98246,37705.0,45.08,15.52,263200,252203.0,82.8,96.33,-4.18,13.53,Held
