ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,roll_change_pct,turnout_change_pts,outcome
40,TAPAN,Dakshin Dinajpur,North Bengal,ST,BJP,BJP,BUDHRAI TUDU,Budhrai Tudu,1650,36987.0,0.89,19.81,220236,195260.0,84.6,95.62,-11.34,11.02,Held
41,GANGARAMPUR,Dakshin Dinajpur,North Bengal,SC,BJP,BJP,SATYENDRA NATH RAY,Satyendra Nath Roy,4592,28339.0,2.42,14.7,224040,200464.0,84.58,96.19,-10.52,11.61,Held
42,HARIRAMPUR,Dakshin Dinajpur,North Bengal,GEN,TMC,TMC,BIPLAB MITRA,Biplab Mitra,22672,1986.0,12.08,0.97,228189,211506.0,82.23,96.49,-7.31,14.26,Held
43,HABIBPUR,Malda,North Bengal,ST,BJP,BJP,JOYEL MURMU,Joyel Murmu,19517,78188.0,9.86,34.35,249557,238515.0,79.34,95.43,-4.42,16.09,Held
44,GAZOLE,Malda,North Bengal,SC,BJP,BJP,CHINMOY DEB BARMAN,Chinmoy Deb Barman,1798,38192.0,0.81,15.66,267096,255389.0,82.82,95.5,-4.38,12.68,Held
45,CHANCHAL,Malda,North Bengal,GEN,TMC,TMC,Nihar Ranjan Ghosh,Prasun Banerjee,67338,63874.0,33.72,27.25,249402,244678.0,80.06,95.8,-1.89,15.74,Held
46,HARISCHANDRAPUR,Malda,North Bengal,GEN,TMC,TMC,TAJMUL HOSSAIN,Md. Matibur Rahaman,77473,48271.0,38.14,21.26,252487,239042.0,80.46,95.0,-5.33,14.54,Held
47,MALATIPUR,Malda,North Bengal,GEN,TMC,TMC,ABDUR RAHIM BOXI,Abdur Rahim Boxi,91949,59747.0,49.57,29.57,231907,212732.0,79.98,94.97,-8.27,14.99,Held
48,RATUA,Malda,North Bengal,GEN,TMC,TMC,Samar Mukherjee,Samar Mukherjee,75650,32562.0,34.52,13.97,282451,247168.0,77.59,94.32,-12.49,16.73,Held
49,MANIKCHAK,Malda,North Bengal,GEN,TMC,BJP,SABITRI MITRA,Gour Chandra Mandal,33878,13938.0,16.37,6.18,253353,236535.0,81.7,95.28,-6.64,13.58,TMC to BJP
50,MALDAHA,Malda,North Bengal,SC,BJP,BJP,Gopal Chandra Saha,Gopal Chandra Saha,15456,50128.0,7.49,22.7,245962,231841.0,83.95,95.24,-5.74,11.29,Held
51,ENGLISH BAZAR,Malda,North Bengal,GEN,BJP,BJP,SREERUPA MITRA CHAUDHURY(NIRBHOY DIDI),Amlan Bhaduri (buro),20099,93784.0,9.32,39.98,275296,249659.0,78.34,93.95,-9.31,15.61,Held
52,MOTHABARI,Malda,North Bengal,GEN,TMC,TMC,YEASMIN SABINA,Islam Md Najrul,56573,10496.0,34.68,6.47,196324,169594.0,83.1,95.63,-13.62,12.53,Held
53,SUJAPUR,Malda,North Bengal,GEN,TMC,TMC,Md Abdul Ghani,Sabina Yeasmin,130163,60287.0,62.7,26.54,251186,236585.0,82.64,96.0,-5.81,13.36,Held
54,BAISNABNAGAR,Malda,North Bengal,GEN,TMC,BJP,CHANDANA SARKAR,Raju Karmakar,2471,46881.0,1.18,20.85,246956,234158.0,84.49,96.02,-5.18,11.53,TMC to BJP
55,FARAKKA,Murshidabad,Murshidabad-Nadia,GEN,TMC,INC,MANIRUL ISLAM,Motab Shaikh,59945,8193.0,32.16,4.69,227549,181811.0,81.93,96.17,-20.1,14.24,TMC to INC
56,SAMSERGANJ,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,Amirul Islam,Mohammed Noor Alam,26379,7587.0,13.99,4.88,235576,161502.0,80.05,96.24,-31.44,16.19,Held
57,SUTI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,EMANI BISWAS,Emani Biswas,70701,12357.0,32.68,5.6,265418,229360.0,81.5,96.29,-13.59,14.79,Held
58,JANGIPUR,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,JAKIR HOSSAIN,Chitta Mukherjee,92480,10542.0,46.65,4.96,255064,221206.0,77.73,96.11,-13.27,18.38,TMC to BJP
59,RAGHUNATHGANJ,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,Akhruzzaman,Akhruzzaman,98313,40555.0,51.61,20.82,249559,200586.0,76.33,97.1,-19.62,20.77,Held
60,SAGARDIGHI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,SUBRATA SAHA,Bayron Biswas,50206,34260.0,26.87,16.5,236885,217262.0,78.86,95.58,-8.28,16.72,Held
61,LALGOLA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,ALI MOHAMMAD,Abdul Aziz Doctor,60707,18960.0,31.88,10.52,234381,186332.0,81.25,96.69,-20.5,15.44,Held
62,BHAGAWANGOLA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,IDRIS ALI,Reyat Hossain Sarkar,106008,56407.0,46.91,25.85,263765,224767.0,85.68,97.09,-14.79,11.41,Held
63,RANINAGAR,Murshidabad,Murshidabad-Nadia,GEN,TMC,INC,ABDUL SOUMIK HOSSAIN,Julfikar Ali,79702,2701.0,35.9,1.14,256101,244547.0,86.69,97.0,-4.51,10.31,TMC to INC
64,MURSHIDABAD,Murshidabad,Murshidabad-Nadia,GEN,BJP,BJP,GOURI SANKAR GHOSH,Gouri Sankar Ghosh,2491,31521.0,1.09,13.27,268221,248676.0,85.46,95.52,-7.29,10.06,Held
65,NABAGRAM,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,KANAI CHANDRA MONDAL,Dilip Saha,35533,5919.0,17.04,2.67,251378,243554.0,82.95,90.98,-3.11,8.03,TMC to BJP
66,KHARGRAM,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,ASHIS MARJIT,Mitali Mal,32573,9333.0,17.52,4.56,228923,231076.0,81.22,88.49,0.94,7.27,TMC to BJP
67,BURWAN,Murshidabad,Murshidabad-Nadia,SC,TMC,BJP,JIBAN KRISHNA SAHA,Sukhen Kumar Bagdi,2749,22300.0,1.55,11.8,217500,214906.0,81.29,87.91,-1.19,6.62,TMC to BJP
68,KANDI,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,APURBA SARKAR (DAVID),Gargi Das Ghosh,38080,10335.0,20.42,5.18,238973,234139.0,78.03,85.19,-2.02,7.16,TMC to BJP
69,BHARATPUR,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,HUMAYUN KABIR,Mustafijur Rahaman (suman),43083,30753.0,22.79,14.34,243603,240461.0,77.6,89.17,-1.29,11.57,Held
70,REJINAGAR,Murshidabad,Murshidabad-Nadia,GEN,TMC,AJUP,RABIUL ALAM CHOWDHURY,Humayun Kabir,68268,58876.0,32.44,24.6,259771,257373.0,81.01,92.98,-0.92,11.97,TMC to AJUP
71,BELDANGA,Murshidabad,Murshidabad-Nadia,GEN,TMC,BJP,HASANUZZAMAN SK,Bharat Kumar Jhawar,53832,13208.0,26.32,5.78,252944,244767.0,80.85,93.39,-3.23,12.54,TMC to BJP
72,BAHARAMPUR,Murshidabad,Murshidabad-Nadia,GEN,BJP,BJP,Subrata Maitra (Kanchan),Subrata Maitra (kanchan),26852,17548.0,13.59,7.82,260667,241429.0,75.81,92.89,-7.38,17.08,Held
73,HARIHARPARA,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,NIAMOT SHEIKH,Niamot Sheikh,14066,12665.0,6.51,5.38,247421,245668.0,87.33,95.78,-0.71,8.45,Held
74,NOWDA,Murshidabad,Murshidabad-Nadia,GEN,TMC,AJUP,SAHINA MOMTAZ KHAN,Humayun Kabir,74153,27943.0,36.65,12.61,247688,236256.0,81.7,93.8,-4.62,12.1,TMC to AJUP
75,DOMKAL,Murshidabad,Murshidabad-Nadia,GEN,TMC,CPI(M),JAFIKUL ISLAM,Md. Mostafijur Rahaman,47229,16296.0,20.88,6.32,266283,267693.0,84.94,96.3,0.53,11.36,TMC to CPI(M)
76,JALANGI,Murshidabad,Murshidabad-Nadia,GEN,TMC,TMC,ABDUR RAZZAK,Babar Ali,79276,21516.0,35.68,8.49,261258,263066.0,85.04,96.29,0.69,11.25,Held
77,KARIMPUR,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Bimalendu Sinha Roy,Samarendranath Ghosh,23575,10185.0,10.64,4.23,251039,253802.0,88.24,94.92,1.1,6.68,TMC to BJP
78,TEHATTA,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Tapas Kumar Saha,Subrata Kabiraj,6915,28253.0,3.17,12.1,252454,253796.0,86.4,92.04,0.53,5.64,TMC to BJP
79,PALASHIPARA,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,Dr. Manik Bhattacharya,Rukbanur Rahman,51336,11454.0,25.24,5.34,244867,232690.0,83.06,92.25,-4.97,9.19,Held
80,KALIGANJ,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,NASIRUDDIN AHAMED (LAL),Alifa Ahmed,46987,10172.0,22.44,4.64,248358,233595.0,84.31,93.76,-5.94,9.45,Held
81,NAKASHIPARA,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,Kallol Khan,Santanu Dey,21271,17327.0,10.15,8.41,247691,219401.0,84.61,93.86,-11.42,9.25,TMC to BJP
82,CHAPRA,Nadia,Murshidabad-Nadia,GEN,TMC,TMC,RUKBANUR RAHMAN,Jeber Sekh,12118,30780.0,5.68,14.6,248014,232860.0,85.95,90.51,-6.11,4.56,Held
83,KRISHNANAGAR UTTAR,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,MUKUL ROY,Tarak Nath Chatterjee,35089,78361.0,17.39,38.78,238220,217296.0,84.71,92.99,-8.78,8.28,Held
84,NABADWIP,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,PUNDARIKAKSHYA SAHA,Srutisekhar Goswami,18571,21444.0,8.82,9.83,243159,230481.0,86.61,94.66,-5.21,8.05,TMC to BJP
85,KRISHNANAGAR DAKSHIN,Nadia,Murshidabad-Nadia,GEN,TMC,BJP,UJJAL BISWAS,Sadhan Ghosh,9305,27801.0,4.76,14.11,225118,210686.0,86.93,93.54,-6.41,6.61,TMC to BJP
86,SANTIPUR,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,JAGANNATH SARKAR,Swapan Kumar Das,15878,45376.0,7.23,21.11,255619,227916.0,85.95,94.32,-10.84,8.37,Held
87,RANAGHAT UTTAR PASCHIM,Nadia,Murshidabad-Nadia,GEN,BJP,BJP,PARTHASARATHI CHATTERJEE,Partha Sarathi Chatterjee(babu),23128,57551.0,10.36,26.5,265846,233327.0,83.96,93.06,-12.23,9.1,Held
88,KRISHNAGANJ,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASHIS KUMAR BISWAS,Sukanta Biswas,21277,60899.0,9.17,26.2,273728,254486.0,84.73,91.35,-7.03,6.62,Held
89,RANAGHAT UTTAR PURBA,Nadia,Murshidabad-Nadia,SC,BJP,BJP,ASHIM BISWAS,Ashim Biswas,31782,51743.0,14.8,24.48,264929,233552.0,81.05,90.51,-11.84,9.46,Held
