ac_no,ac_name,district,region,reservation,winner_2021,winner_2026,winner_name_2021,winner_name_2026,margin_2021,margin_2026,margin_pct_2021,margin_pct_2026,roll_2021,roll_2026,turnout_2021,turnout_2026,tmc_votes_2021,tmc_votes_2026,bjp_votes_2021,bjp_votes_2026,other_votes_2021,other_votes_2026,total_votes_2021,total_votes_2026,roll_change_pct,turnout_change_pts,outcome,flipped
39,BALURGHAT,Dakshin Dinajpur,North Bengal,GEN,BJP,BJP,Ashok Kumar Lahiri,Bidyut Kumar Roy,13436,47576.0,8.83,30.06,180390,167310.0,84.31,94.61,58693.0,48121.0,72129.0,95697.0,19440.0,13034.0,150262.0,156852.0,-7.25,10.3,Held,Held
40,TAPAN,Dakshin Dinajpur,North Bengal,ST,BJP,BJP,BUDHRAI TUDU,Budhrai Tudu,1650,36987.0,0.89,19.81,220236,195260.0,84.6,95.62,82731.0,68793.0,84381.0,105780.0,17494.0,10688.0,184606.0,185261.0,-11.34,11.02,Held,Held
41,GANGARAMPUR,Dakshin Dinajpur,North Bengal,SC,BJP,BJP,SATYENDRA NATH RAY,Satyendra Nath Roy,4592,28339.0,2.42,14.7,224040,200464.0,84.58,96.19,84132.0,76744.0,88724.0,105083.0,15477.0,9558.0,188333.0,191385.0,-10.52,11.61,Held,Held
42,HARIRAMPUR,Dakshin Dinajpur,North Bengal,GEN,TMC,TMC,BIPLAB MITRA,Biplab Mitra,22672,1986.0,12.08,0.97,228189,211506.0,82.23,96.49,96131.0,93098.0,73459.0,91112.0,16229.0,18851.0,185819.0,203061.0,-7.31,14.26,Held,Held
43,HABIBPUR,Malda,North Bengal,ST,BJP,BJP,JOYEL MURMU,Joyel Murmu,19517,78188.0,9.86,34.35,249557,238515.0,79.34,95.43,74558.0,63874.0,94075.0,142062.0,27194.0,19558.0,195827.0,225494.0,-4.42,16.09,Held,Held
44,GAZOLE,Malda,North Bengal,SC,BJP,BJP,CHINMOY DEB BARMAN,Chinmoy Deb Barman,1798,38192.0,0.81,15.66,267096,255389.0,82.82,95.5,98857.0,93349.0,100655.0,131541.0,19966.0,17502.0,219478.0,242392.0,-4.38,12.68,Held,Held
45,CHANCHAL,Malda,North Bengal,GEN,TMC,TMC,Nihar Ranjan Ghosh,Prasun Banerjee,67338,63874.0,33.72,27.25,249402,244678.0,80.06,95.8,115966.0,128014.0,48628.0,64140.0,34062.0,41474.0,198656.0,233628.0,-1.89,15.74,Held,Held
46,HARISCHANDRAPUR,Malda,North Bengal,GEN,TMC,TMC,TAJMUL HOSSAIN,Md. Matibur Rahaman,77473,48271.0,38.14,21.26,252487,239042.0,80.46,95.0,122527.0,113104.0,45054.0,64833.0,34560.0,48208.0,202141.0,226145.0,-5.33,14.54,Held,Held
47,MALATIPUR,Malda,North Bengal,GEN,TMC,TMC,ABDUR RAHIM BOXI,Abdur Rahim Boxi,91949,59747.0,49.57,29.57,231907,212732.0,79.98,94.97,126157.0,104123.0,34208.0,43346.0,23085.0,53113.0,183450.0,200582.0,-8.27,14.99,Held,Held
48,RATUA,Malda,North Bengal,GEN,TMC,TMC,Samar Mukherjee,Samar Mukherjee,75650,32562.0,34.52,13.97,282451,247168.0,77.59,94.32,130674.0,106834.0,55024.0,74272.0,31399.0,50585.0,217097.0,231691.0,-12.49,16.73,Held,Held
